# SFHo_cold_beta_1D.d converted to units with G=c=Msun=1
# 
# T = 0.1
# Ye at beta equilibrium 
# 
# 
# 
# 
#
# rho0=nB*mB           epsl=(rho-rho0)/rho0    P
#
5.4526643574307050e-15 4.6740839208319063e-03 1.8952639920493509e-19
5.6092017065990504e-15 4.5157201954439952e-03 1.9550624968950107e-19
5.7702329948911673e-15 4.3615338450890828e-03 2.0167477368851026e-19
5.9358872361747093e-15 4.2133131884780628e-03 2.0803792414261642e-19
6.1062971481009290e-15 4.0685505595021709e-03 2.1460184181694076e-19
6.2815992584344459e-15 3.9268620318666514e-03 2.2137286122722443e-19
6.4619340144355453e-15 3.7906703438714828e-03 2.2835751675295919e-19
6.6474458953827067e-15 3.6583262979799080e-03 2.3556254894339780e-19
6.8382835283254263e-15 3.5283709013236297e-03 2.4299491102252764e-19
7.0345998071601666e-15 3.4031480575154038e-03 2.5066177559928723e-19
7.2365520151247671e-15 3.2820687322370201e-03 2.5857054158950051e-19
7.4443019508094687e-15 3.1631187972784858e-03 2.6672884135620767e-19
7.6580160577855204e-15 3.0479682696302746e-03 2.7514454807528569e-19
7.8778655579552358e-15 2.9370776638426577e-03 2.8382578333346520e-19
8.1040265887302896e-15 2.8283849917500881e-03 2.9278092496607605e-19
8.3366803441481986e-15 2.7225592691431100e-03 3.0201861514208662e-19
8.5760132200400376e-15 2.6208875077524674e-03 3.1154776870423760e-19
8.8222169633656788e-15 2.5216554991873696e-03 3.2137758177232105e-19
9.0754888258362333e-15 2.4245382225713819e-03 3.3151754061790558e-19
9.3360317219467060e-15 2.3312329999509718e-03 3.4197743081907226e-19
9.6040543915455666e-15 2.2406361627222982e-03 3.5276734670399791e-19
9.8797715670713931e-15 2.1516957687999216e-03 3.6389770109249625e-19
1.0163404145590654e-14 2.0660235391978254e-03 3.7537923534492205e-19
1.0455179365774390e-14 1.9832577037202093e-03 3.8722302972813172e-19
1.0755330989955615e-14 1.9019837426821340e-03 3.9944051410850606e-19
1.1064099491413337e-14 1.8233231126265625e-03 4.1204347898235589e-19
1.1381732247033154e-14 1.7476387115755720e-03 4.2504408685435266e-19
1.1708483735498873e-14 1.6735032782950743e-03 4.3845488397496691e-19
1.2044615741173857e-14 1.6013344695189335e-03 4.5228881244823964e-19
1.2390397563835525e-14 1.5320552085438255e-03 4.6655922272157532e-19
1.2746106234430948e-14 1.4644947829021149e-03 4.8127988646960287e-19
1.3112026737026507e-14 1.3983868590634607e-03 4.9646500988454825e-19
1.3488452237129320e-14 1.3349172751584426e-03 5.1212924738593213e-19
1.3875684316563412e-14 1.2733490550369542e-03 5.2828771576283469e-19
1.4274033215088882e-14 1.2129256973087976e-03 5.4495600876236928e-19
1.4683818078957490e-14 1.1547517132650675e-03 5.6215021213844435e-19
1.5105367216603899e-14 1.0986084492905501e-03 5.7988691917533617e-19
1.5539018361677458e-14 1.0435044926671022e-03 5.9818324670105766e-19
1.5985118943625139e-14 9.9018876287093605e-04 6.1705685160596945e-19
1.6444026366042547e-14 9.3894146688611180e-04 6.3652594788258269e-19
1.6916108293015879e-14 8.8877738838499809e-04 6.5660932420299026e-19
1.7401742943684367e-14 8.3995213700127636e-04 6.7732636205089541e-19
1.7901319395259111e-14 7.9312309097279154e-04 6.9869705442573292e-19
1.8415237894741110e-14 7.4749389937611710e-04 7.2074202513693599e-19
1.8943910179588210e-14 7.0285181746609915e-04 7.4348254870696320e-19
1.9487759807587924e-14 6.6001972299001288e-04 7.6694057090230019e-19
2.0047222496200327e-14 6.1850862519130523e-04 7.9113872991224554e-19
2.0622746471643028e-14 5.7777806664072173e-04 8.1610037819591910e-19
2.1214792827997706e-14 5.3857870908236016e-04 8.4184960501857617e-19
2.1823835896626120e-14 5.0078181192847460e-04 8.6841125969898092e-19
2.2450363626191440e-14 4.6369765011311515e-04 8.9581097559026594e-19
2.3094877973589390e-14 4.2782073787694941e-04 9.2407519481742873e-19
2.3757895306102330e-14 3.9336287029101413e-04 9.5323119379532992e-19
2.4439946815098701e-14 3.5965010641203499e-04 9.8330710955183010e-19
2.5141578941608971e-14 3.2683428415491989e-04 1.0143319668814547e-18
2.5863353814119309e-14 2.9537796818090989e-04 1.0463357063558075e-18
2.6605849698933488e-14 2.6474549200816710e-04 1.0793492132177450e-18
2.7369661463464127e-14 2.3477184789388872e-04 1.1134043471872192e-18
2.8155401052824160e-14 2.0602091453891802e-04 1.1485339732075289e-18
2.8963697980100555e-14 1.7817282952359292e-04 1.1847719931616734e-18
2.9795199830702974e-14 1.5084695680633864e-04 1.2221533785893955e-18
3.0650572781191554e-14 1.2454655473570497e-04 1.2607142044365078e-18
3.1530502132999289e-14 9.9199157914897640e-05 1.3004916838690541e-18
3.2435692861476900e-14 7.4331809476690935e-05 1.3415242041859173e-18
3.3366870180699738e-14 5.0266052393110883e-05 1.3838513638645216e-18
3.4324780124489530e-14 2.7158598331800121e-05 1.4275140107753858e-18
3.5310190144116280e-14 4.5552602045972890e-06 1.4725542816024038e-18
7.0827572464459362e-10 4.3808965466407557e-06 2.3510778343944881e-13
7.2860919781446917e-10 1.3666926316435735e-05 2.4402520685362140e-13
7.4952641276281295e-10 2.3059118353652153e-05 2.5328802910885167e-13
7.7104412779063414e-10 3.2527564225892647e-05 2.6290130561323670e-13
7.9317958230319398e-10 4.2078932972033911e-05 2.7287970879204237e-13
8.1595051062174954e-10 5.1739326187405510e-05 2.8324410609412867e-13
8.3937515619180470e-10 6.1484832594826955e-05 2.9400217538662056e-13
8.6347228619926120e-10 7.1307799679232176e-05 3.0516617676590764e-13
8.8826120660617463e-10 8.1238446626441529e-05 3.1676027531759355e-13
9.1376177761816426e-10 9.1265721222644203e-05 3.2879722608808187e-13
9.3999442959586671e-10 1.0136769900048748e-04 3.4128643440157238e-13
9.6698017942318285e-10 1.1157263086580826e-04 3.5425379617941845e-13
9.9474064734542999e-10 1.2188552770675543e-04 3.6771893924039943e-13
1.0232980742908934e-09 1.3227453098041408e-04 3.8168935782857418e-13
1.0526753396896475e-09 1.4275983484246524e-04 3.9619073103726082e-13
1.0828959798039329e-09 1.5336136139465495e-04 4.1125013872197661e-13
1.1139842065847651e-09 1.6404536678016335e-04 4.2687573349234392e-13
1.1459649270698877e-09 1.7481866141633162e-04 4.4309082558019329e-13
1.1788637633386110e-09 1.8571162293912202e-04 4.5992925286210016e-13
1.2127070730395221e-09 1.9669784300879734e-04 4.7740352015345446e-13
1.2475219705075116e-09 2.0776758739948775e-04 4.9553278290172075e-13
1.2833363484870384e-09 2.1895534895333135e-04 5.1435583378854516e-13
1.3201789004790341e-09 2.3024967069917857e-04 5.3389340142782663e-13
