# r=Infinity
# M=1.000000e+00
# u/M:0 Reh/M:1 Imh/M:2 Momega:3 A/M:4 phi:5 t:6
-1.615041675990273404e+02 -2.219189857422093604e-04 9.198419950629164684e-06 -1.167360466640837875e-02 2.221095386570308015e-04 -3.100166916443268139e+00 -1.615041675990273404e+02
-1.612543393985708349e+02 -2.133489135318745544e-04 7.950673233821840233e-06 -1.167360466640837875e-02 2.134970072626366107e-04 -3.104343831261151099e+00 -1.612543393985708349e+02
-1.610045111981143862e+02 -2.053649337275649468e-04 7.312631248452326542e-06 -1.017095651586708178e-03 2.054950865123129488e-04 -3.105999707736566418e+00 -1.610045111981143862e+02
-1.607546829976578806e+02 -1.978179074363795443e-04 7.271225392005935731e-06 1.017697470769625412e-02 1.979514971431370167e-04 -3.104852029613807129e+00 -1.607546829976578806e+02
-1.605048547972014035e+02 -1.906089515342849745e-04 7.757858243195115010e-06 2.084005301320594403e-02 1.907667601274417668e-04 -3.100914717181936453e+00 -1.605048547972014035e+02
-1.602550265967449548e+02 -1.836617996408535349e-04 8.666719102760896907e-06 2.988658598802126920e-02 1.838661705353194858e-04 -3.094439163730394071e+00 -1.602550265967449548e+02
-1.600051983962884492e+02 -1.768713275908504097e-04 9.846136472178830475e-06 3.614574064171222068e-02 1.771451747216917305e-04 -3.085981693191586217e+00 -1.600051983962884492e+02
-1.597553701958319721e+02 -1.701089717247515859e-04 1.110922949241542066e-05 3.885861475771875545e-02 1.704713384741478538e-04 -3.076378713053022018e+00 -1.597553701958319721e+02
-1.595055419953754665e+02 -1.632745227577167080e-04 1.227302098349360469e-05 3.813258259909056008e-02 1.637351423055582913e-04 -3.066565737597280350e+00 -1.595055419953754665e+02
-1.592557137949190462e+02 -1.563473291761783798e-04 1.320621433032363432e-05 3.492622163138869168e-02 1.569040835589141831e-04 -3.057325524074045564e+00 -1.592557137949190462e+02
-1.590058855944625691e+02 -1.493840918626325367e-04 1.385426323807100965e-05 3.060875773032036354e-02 1.500251562621855651e-04 -3.049114627399454491e+00 -1.590058855944625691e+02
-1.587560573940060635e+02 -1.424717598316651960e-04 1.423168407505294759e-05 2.644909587253090055e-02 1.431808059103726379e-04 -3.042031662350096255e+00 -1.587560573940060635e+02
-1.585062291935495864e+02 -1.356744397023423691e-04 1.439354177865637436e-05 2.327046123123051313e-02 1.364358004098574701e-04 -3.035899167348383276e+00 -1.585062291935495864e+02
