# r=Infinity
# M=1.000000e+00
# u/M:0 Reh/M:1 Imh/M:2 Momega:3 A/M:4 phi:5 t:6
-1.615041675990273404e+02 1.246359382034370336e-04 3.830056045962171492e-05 -2.789421026077156321e-02 1.303880746976965950e-04 -2.981400492747449671e-01 -1.615041675990273404e+02
-1.612543393985708349e+02 1.224752458609081117e-04 3.857420416704542584e-05 -2.789421026077156321e-02 1.284062112041734437e-04 -3.051199835136246263e-01 -1.612543393985708349e+02
-1.610045111981143862e+02 1.196444290221079684e-04 3.859965969564981990e-05 -2.728892596302448861e-02 1.257168370770049613e-04 -3.120775699799512859e-01 -1.610045111981143862e+02
-1.607546829976578806e+02 1.161577327760634126e-04 3.833301911302102144e-05 -2.708157496714779303e-02 1.223194148040064567e-04 -3.187550700450895169e-01 -1.607546829976578806e+02
-1.605048547972014035e+02 1.120284006875498363e-04 3.782371153040556548e-05 -2.808283089140238206e-02 1.182412606265069975e-04 -3.256090522590914804e-01 -1.605048547972014035e+02
-1.602550265967449548e+02 1.073057706477063790e-04 3.708934338453225834e-05 -2.798886040362284083e-02 1.135347867703723229e-04 -3.327868362557339643e-01 -1.602550265967449548e+02
-1.600051983962884492e+02 1.021446869928316033e-04 3.608567396346139202e-05 -2.386773585401821829e-02 1.083314956338219244e-04 -3.395938655140207652e-01 -1.600051983962884492e+02
-1.597553701958319721e+02 9.681728594821346326e-05 3.476204790641760603e-05 -1.481348766475245465e-02 1.028687845414059666e-04 -3.447125032504944619e-01 -1.597553701958319721e+02
-1.595055419953754665e+02 9.163796309638461558e-05 3.313879830592529152e-05 -3.049003228799058909e-03 9.744586309133468891e-05 -3.469955194455598413e-01 -1.595055419953754665e+02
-1.592557137949190462e+02 8.685080409736861543e-05 3.133305532486283440e-05 7.155373203514340391e-03 9.232996549523029065e-05 -3.462359572301680899e-01 -1.592557137949190462e+02
-1.590058855944625691e+02 8.255430170675007401e-05 2.952057841705945648e-05 1.187295800103484004e-02 8.767369776829806924e-05 -3.434202914235032766e-01 -1.590058855944625691e+02
-1.587560573940060635e+02 7.870215756274124880e-05 2.786673848182176901e-05 9.517964909101880866e-03 8.349002765986363213e-05 -3.403035577671800205e-01 -1.587560573940060635e+02
-1.585062291935495864e+02 7.516425330217502566e-05 2.647548564939822911e-05 1.255741916667795811e-03 7.969075426199089581e-05 -3.386645793330053666e-01 -1.585062291935495864e+02
-1.582564009930930808e+02 7.180196461052701948e-05 2.537284051509839229e-05 -9.920281804783505006e-03 7.615315592761728153e-05 -3.396761182806222190e-01 -1.582564009930930808e+02
-1.580065727926366321e+02 6.852183586759744442e-05 2.451824810756689232e-05 -2.048309894770318842e-02 7.277627691033782226e-05 -3.436213116356257591e-01 -1.580065727926366321e+02
