# r=Infinity
# M=1.000000e+00
# u/M:0 Reh/M:1 Imh/M:2 Momega:3 A/M:4 phi:5 t:6
-1.615041675990273404e+02 1.646785489583289330e-04 -2.722171239672605149e-05 6.493179481685718013e-02 1.669132892037983123e-04 1.638207122092595613e-01 -1.615041675990273404e+02
-1.612543393985708349e+02 1.585013979085056165e-04 -2.863257380477216322e-05 6.493179481685718013e-02 1.610668104285800585e-04 1.787181681636911268e-01 -1.612543393985708349e+02
-1.610045111981143862e+02 1.523240579856442408e-04 -3.028564110316607765e-05 7.696156488318331435e-02 1.553056299631268614e-04 1.962642991122688363e-01 -1.610045111981143862e+02
-1.607546829976578806e+02 1.462918855126419987e-04 -3.227965646641187711e-05 9.163406040727994917e-02 1.498108540407987784e-04 2.171725066818513128e-01 -1.607546829976578806e+02
-1.605048547972014035e+02 1.404623641880492360e-04 -3.467880894005712024e-05 1.084886602619435786e-01 1.446799763021723681e-04 2.420498439364131837e-01 -1.605048547972014035e+02
-1.602550265967449548e+02 1.348297058577227416e-04 -3.751554748321695370e-05 1.262838076271485532e-01 1.399516555266336825e-04 2.713795602081991998e-01 -1.602550265967449548e+02
-1.600051983962884492e+02 1.293933977436925818e-04 -4.075714696087951740e-05 1.423123307814764815e-01 1.356605926864841590e-04 3.051483567489781112e-01 -1.600051983962884492e+02
-1.597553701958319721e+02 1.241840306011716911e-04 -4.427624526855526314e-05 1.532472347069933627e-01 1.318410381915813268e-04 3.424868272120096258e-01 -1.597553701958319721e+02
-1.595055419953754665e+02 1.192434835550792077e-04 -4.786525195778025868e-05 1.570483737722764006e-01 1.284915978394394391e-04 3.817193184925415372e-01 -1.595055419953754665e+02
-1.592557137949190462e+02 1.145777397319187700e-04 -5.129885471157421715e-05 1.543981918368706463e-01 1.255373686867560391e-04 4.209570524202931874e-01 -1.592557137949190462e+02
-1.590058855944625691e+02 1.101351931590899887e-04 -5.441079512757923908e-05 1.484226095982522087e-01 1.228425634648083276e-04 4.588653633332114290e-01 -1.590058855944625691e+02
-1.587560573940060635e+02 1.058230410834859849e-04 -5.714226841179950332e-05 1.429166548255850766e-01 1.202653518824241605e-04 4.951173593462686040e-01 -1.587560573940060635e+02
-1.585062291935495864e+02 1.015514929629470647e-04 -5.953821060720417338e-05 1.404183804089293441e-01 1.177179011251529425e-04 5.302745847138863322e-01 -1.585062291935495864e+02
-1.582564009930930808e+02 9.727031391475468656e-05 -6.170119019669472219e-05 1.412969751350157954e-01 1.151891958508419303e-04 5.652783019234243200e-01 -1.582564009930930808e+02
-1.580065727926366321e+02 9.298079965968905939e-05 -6.373103121679652599e-05 1.440871280467835858e-01 1.127256556659198483e-04 6.008745227697355196e-01 -1.580065727926366321e+02
-1.577567445921801266e+02 8.872004876774658639e-05 -6.568057938035126654e-05 1.465989859997672284e-01 1.103865279872954283e-04 6.372723577411641971e-01 -1.577567445921801266e+02
-1.575069163917236779e+02 8.453555095764268444e-05 -6.754290188729505527e-05 1.470775831481029861e-01 1.082049119544439635e-04 6.741236444918677906e-01 -1.575069163917236779e+02
-1.572570881912671723e+02 8.046444338635392549e-05 -6.926798326413203394e-05 1.448507546941388835e-01 1.061724076912444784e-04 7.107606135919211088e-01 -1.572570881912671723e+02
