# r=Infinity
# M=1.000000e+00
# u/M:0 Reh/M:1 Imh/M:2 Momega:3 A/M:4 phi:5 t:6
-1.615041675990273404e+02 2.431456035737079987e-05 -5.724329704814517085e-04 1.220817865144609680e-02 5.729491282300643766e-04 1.528346023125462416e+00 -1.615041675990273404e+02
-1.612543393985708349e+02 2.232907248011314447e-05 -5.671832595804124702e-04 1.220817865144609680e-02 5.676226188464336729e-04 1.531448290480953878e+00 -1.612543393985708349e+02
-1.610045111981143862e+02 2.042632392334878028e-05 -5.616807862012714600e-04 1.116719334280725368e-02 5.620520797014277002e-04 1.534445917732146336e+00 -1.610045111981143862e+02
-1.607546829976578806e+02 1.878278758863292277e-05 -5.560143891283252310e-04 9.302076670724628016e-03 5.563315504511175992e-04 1.537028050114920052e+00 -1.607546829976578806e+02
-1.605048547972014035e+02 1.745149432522227856e-05 -5.502913194436611461e-04 7.405298089675986517e-03 5.505679711981334868e-04 1.539093759882457224e+00 -1.605048547972014035e+02
-1.602550265967449548e+02 1.637969959169737489e-05 -5.445879110232899238e-04 6.002372646652428395e-03 5.448341833910799997e-04 1.540728154706094921e+00 -1.602550265967449548e+02
-1.600051983962884492e+02 1.547305689066274932e-05 -5.389181815021231109e-04 5.198777193414732059e-03 5.391402617530032968e-04 1.542092883796021940e+00 -1.600051983962884492e+02
-1.597553701958319721e+02 1.465291536757313836e-05 -5.332699482271937652e-04 4.757444577829578018e-03 5.334712228518077425e-04 1.543325757007705024e+00 -1.597553701958319721e+02
-1.595055419953754665e+02 1.389408417184471203e-05 -5.276413670516908253e-04 4.317614519714736525e-03 5.278242679141908122e-04 1.544469971431323252e+00 -1.595055419953754665e+02
-1.592557137949190462e+02 1.321820606052247225e-05 -5.220738057997187940e-04 3.662285801514997101e-03 5.222411125846575285e-04 1.545483080739155080e+00 -1.592557137949190462e+02
-1.590058855944625691e+02 1.265854394657538014e-05 -5.166463325994665769e-04 2.878404266639354898e-03 5.168013851793801456e-04 1.546299855974022641e+00 -1.590058855944625691e+02
-1.587560573940060635e+02 1.221317379797181778e-05 -5.114486404140345874e-04 2.319138721083832070e-03 5.115944423032602962e-04 1.546921293855396673e+00 -1.587560573940060635e+02
