# r=Infinity
# M=1.000000e+00
# u/M:0 Reh/M:1 Imh/M:2 Momega:3 A/M:4 phi:5 t:6
-1.615041675990273404e+02 1.590686308348837630e-04 2.430571680965144240e-05 -4.565255750255711037e-02 1.609148755874220227e-04 -1.516273871351118963e-01 -1.615041675990273404e+02
-1.612543393985708349e+02 1.529600396678278595e-04 2.506969524945909175e-05 -4.565255750255711037e-02 1.550008495302016920e-04 -1.624526853560425976e-01 -1.612543393985708349e+02
-1.610045111981143862e+02 1.468580320350455239e-04 2.588065659389365513e-05 -5.483165959767172942e-02 1.491210580667180980e-04 -1.744379797093112694e-01 -1.610045111981143862e+02
-1.607546829976578806e+02 1.408320594089773809e-04 2.706284581560409222e-05 -7.046731625239670282e-02 1.434087395559032591e-04 -1.898496750466995009e-01 -1.607546829976578806e+02
-1.605048547972014035e+02 1.349876727589832475e-04 2.872185088947402449e-05 -8.871362702622506702e-02 1.380094798026698167e-04 -2.096474253299807355e-01 -1.605048547972014035e+02
-1.602550265967449548e+02 1.294350428490184516e-04 3.087707216896325878e-05 -1.083683863299944039e-01 1.330669902832952965e-04 -2.341760066385547845e-01 -1.602550265967449548e+02
-1.600051983962884492e+02 1.242402029475094276e-04 3.355585856828128914e-05 -1.290665602861779671e-01 1.286919720600039195e-04 -2.637943832163703317e-01 -1.600051983962884492e+02
-1.597553701958319721e+02 1.193937115448217342e-04 3.675822453377465294e-05 -1.488998995056881325e-01 1.249240786530902785e-04 -2.986649396293649672e-01 -1.597553701958319721e+02
-1.595055419953754665e+02 1.148162833334014793e-04 4.038149047445590905e-05 -1.643955906870969153e-01 1.217104912956746600e-04 -3.381931710996872731e-01 -1.595055419953754665e+02
-1.592557137949190462e+02 1.103948171415400207e-04 4.419633242915496516e-05 -1.726868444856242690e-01 1.189131256502091549e-04 -3.808062487980343191e-01 -1.592557137949190462e+02
-1.590058855944625691e+02 1.060254412807403715e-04 4.791856775627046874e-05 -1.736137714786276931e-01 1.163511208995770906e-04 -4.244772583003795230e-01 -1.590058855944625691e+02
-1.587560573940060635e+02 1.016449506084692110e-04 5.131971411697020940e-05 -1.697336326224263003e-01 1.138657500798448966e-04 -4.675534810039744804e-01 -1.587560573940060635e+02
-1.585062291935495864e+02 9.724239833416900949e-05 5.430223325264512047e-05 -1.645151499259056294e-01 1.113769121946100212e-04 -5.092857542903874712e-01 -1.585062291935495864e+02
-1.582564009930930808e+02 9.285123565850117249e-05 5.689622146362087137e-05 -1.603557583423529109e-01 1.088968869166970764e-04 -5.497545287116122337e-01 -1.582564009930930808e+02
-1.580065727926366321e+02 8.852771427973842565e-05 5.919842620314495193e-05 -1.577663652317536636e-01 1.064969946079428179e-04 -5.894085353693949703e-01 -1.580065727926366321e+02
