# r=Infinity
# M=1.000000e+00
# u/M:0 Reh/M:1 Imh/M:2 Momega:3 A/M:4 phi:5 t:6
-1.615041675990273404e+02 -4.639938554644429912e-05 -4.390472902217049713e-05 -3.659592980117274547e-02 6.387901227788204234e-05 2.383812525457166043e+00 -1.615041675990273404e+02
-1.612543393985708349e+02 -4.403082493121568023e-05 -4.233204338643295603e-05 -3.659592980117274547e-02 6.107958285216269522e-05 2.375862230869748792e+00 -1.612543393985708349e+02
-1.610045111981143862e+02 -4.172268397988818090e-05 -4.095109655930979795e-05 -4.525960383083991317e-02 5.846173678480252233e-05 2.365527134884648941e+00 -1.610045111981143862e+02
-1.607546829976578806e+02 -3.942642112813880199e-05 -3.965944911633429934e-05 -5.347174378565403008e-02 5.592239790266918516e-05 2.353247980112885163e+00 -1.607546829976578806e+02
-1.605048547972014035e+02 -3.707382368925308467e-05 -3.838581061961642043e-05 -6.299402396227724021e-02 5.336608342259041999e-05 2.338809635834167899e+00 -1.605048547972014035e+02
-1.602550265967449548e+02 -3.464649559970870574e-05 -3.711773111582760526e-05 -7.328801961155265166e-02 5.077504919276308414e-05 2.321772612820871107e+00 -1.602550265967449548e+02
-1.600051983962884492e+02 -3.218968419781198574e-05 -3.586866270351505963e-05 -8.151712811431606476e-02 4.819477910410420218e-05 2.302190807725021493e+00 -1.600051983962884492e+02
-1.597553701958319721e+02 -2.978620806569312227e-05 -3.463689655804733807e-05 -8.472790361325881203e-02 4.568295955939844503e-05 2.281042057974509429e+00 -1.597553701958319721e+02
-1.595055419953754665e+02 -2.750745408304055344e-05 -3.339270376365520947e-05 -8.228212731689832360e-02 4.326352614822117856e-05 2.259855968348718491e+00 -1.595055419953754665e+02
-1.592557137949190462e+02 -2.538692359483186748e-05 -3.210105679361487167e-05 -7.636548544927536375e-02 4.092644300298669169e-05 2.239929266379888873e+00 -1.592557137949190462e+02
-1.590058855944625691e+02 -2.341957460977592273e-05 -3.074926248098238367e-05 -7.049584515079418412e-02 3.865221362389496975e-05 2.221699464735167329e+00 -1.590058855944625691e+02
-1.587560573940060635e+02 -2.157962692331526775e-05 -2.935527197438787518e-05 -6.763625608166740077e-02 3.643366974159692706e-05 2.204705566112524107e+00 -1.587560573940060635e+02
-1.585062291935495864e+02 -1.983326793381673622e-05 -2.795180119697905858e-05 -6.946773216250623495e-02 3.427333813753780144e-05 2.187904576450172556e+00 -1.585062291935495864e+02
-1.582564009930930808e+02 -1.814340503122428749e-05 -2.656576436056400973e-05 -7.691700393938370739e-02 3.217021887068951527e-05 2.169995569080619191e+00 -1.582564009930930808e+02
-1.580065727926366321e+02 -1.646872466414873483e-05 -2.520936601510274981e-05 -9.098791474659524703e-02 3.011197480981541856e-05 2.149472503092812570e+00 -1.580065727926366321e+02
-1.577567445921801266e+02 -1.476792484997761697e-05 -2.388634070699240537e-05 -1.129748359569465871e-01 2.808289295541164621e-05 2.124532875071760696e+00 -1.577567445921801266e+02
-1.575069163917236779e+02 -1.300772001202329611e-05 -2.260154654505890448e-05 -1.439775482022906394e-01 2.607739799404180077e-05 2.093023903164833222e+00 -1.575069163917236779e+02
-1.572570881912671723e+02 -1.117156556477419566e-05 -2.136473937695081935e-05 -1.842451056952913724e-01 2.410925062736462172e-05 2.052593571524732763e+00 -1.572570881912671723e+02
-1.570072599908106952e+02 -9.262046007320431007e-06 -2.018645574627231428e-05 -2.328250481935472960e-01 2.220987374655540374e-05 2.000964656767291849e+00 -1.570072599908106952e+02
-1.567574317903542180e+02 -7.298110372824790273e-06 -1.907231197112399613e-05 -2.875469063042627726e-01 2.042095734626103341e-05 1.936261045901959799e+00 -1.567574317903542180e+02
-1.565076035898977409e+02 -5.308761931546912202e-06 -1.802034740492555680e-05 -3.450834543733856119e-01 1.878605530280503226e-05 1.857290004469649425e+00 -1.565076035898977409e+02
-1.562577753894412638e+02 -3.327551088477180819e-06 -1.702283289024526133e-05 -4.010203175301371714e-01 1.734501184362932243e-05 1.763837889075144272e+00 -1.562577753894412638e+02
-1.560079471889847866e+02 -1.387330238085217694e-06 -1.606917809040475995e-05 -4.503032757453817592e-01 1.612895438925443652e-05 1.656917635919570975e+00 -1.560079471889847866e+02
-1.557581189885283095e+02 4.842172919865348243e-07 -1.514777447031251617e-05 -4.884589283405124105e-01 1.515551179569038659e-05 1.538840974996893207e+00 -1.557581189885283095e+02
-1.555082907880718324e+02 2.268933756593473259e-06 -1.424611523447732240e-05 -5.130795355665990209e-01 1.442566669744647319e-05 1.412856005791151892e+00 -1.555082907880718324e+02
-1.552584625876153552e+02 3.959741209040626511e-06 -1.335121572314316523e-05 -5.242782957438848479e-01 1.392603718681232509e-05 1.282477500873596243e+00 -1.552584625876153552e+02
-1.550086343871588497e+02 5.558792154295959406e-06 -1.245104651162483136e-05 -5.235972454416850663e-01 1.363556854147663271e-05 1.150896999462970083e+00 -1.550086343871588497e+02
-1.547588061867024010e+02 7.072279664847934146e-06 -1.153679810931295161e-05 -5.125955774799402231e-01 1.353199358087597204e-05 1.020858785688267156e+00 -1.547588061867024010e+02
-1.545089779862458954e+02 8.505641878066856322e-06 -1.060419738359541713e-05 -4.925821064630906965e-01 1.359393048048196261e-05 8.947753380954457381e-01 -1.545089779862458954e+02
-1.542591497857894183e+02 9.861534802474436896e-06 -9.653473895708049080e-06 -4.652752412901537404e-01 1.379997923605435291e-05 7.747369832187835925e-01 -1.542591497857894183e+02
-1.540093215853329696e+02 1.114189200889020941e-05 -8.688369467207772943e-06 -4.330273768198838469e-01 1.412903116057430879e-05 6.622975855985143712e-01 -1.540093215853329696e+02
-1.537594933848764640e+02 1.235147097726766780e-05 -7.715766905632883967e-06 -3.980478266980047586e-01 1.456337509797592167e-05 5.583720826201827858e-01 -1.537594933848764640e+02
-1.535096651844199869e+02 1.350034620664010560e-05 -6.746171267162659073e-06 -3.615171913329373043e-01 1.509205666783135726e-05 4.634104411193546436e-01 -1.535096651844199869e+02
-1.532598369839635097e+02 1.460305618535590692e-05 -5.794374173052993102e-06 -3.236026203296064052e-01 1.571063404226592558e-05 3.777377039306074602e-01 -1.532598369839635097e+02
-1.530100087835070326e+02 1.567535192433714322e-05 -4.878517373912186919e-06 -2.843822127148579182e-01 1.641696042875730307e-05 3.017203205194622928e-01 -1.530100087835070326e+02
-1.527601805830505270e+02 1.673012629802495658e-05 -4.016987882433751721e-06 -2.447777742591743244e-01 1.720561877979068376e-05 2.356443110418312836e-01 -1.527601805830505270e+02
-1.525103523825940499e+02 1.777482567024820246e-05 -3.223745100397335808e-06 -2.067285464909449089e-01 1.806479892166116261e-05 1.794155388096327075e-01 -1.525103523825940499e+02
-1.522605241821376012e+02 1.881066881221042173e-05 -2.504251401760436211e-06 -1.725615816307280170e-01 1.897663131975443481e-05 1.323510695362052902e-01 -1.522605241821376012e+02
-1.520106959816811241e+02 1.983361473454539395e-05 -1.853744464753260333e-06 -1.441203813003783252e-01 1.992005627449329385e-05 9.319403999618108836e-02 -1.520106959816811241e+02
-1.517608677812246469e+02 2.083601104339693870e-05 -1.258781306505801356e-06 -1.221882377041338258e-01 2.087400025338142267e-05 6.034039851745562344e-02 -1.517608677812246469e+02
-1.515110395807681414e+02 2.180879994883269831e-05 -7.012178673511566394e-07 -1.064002074150089405e-01 2.182007015812959525e-05 3.214190491103356695e-02 -1.515110395807681414e+02
-1.512612113803116642e+02 2.274380082975572891e-05 -1.632317365069533588e-07 -9.551448450027336112e-02 2.274438657742610097e-05 7.176853824077402202e-03 -1.512612113803116642e+02
-1.510113831798551871e+02 2.363601018110123052e-05 3.683383826086898223e-07 -8.783433070385392172e-02 2.363888005903037008e-05 -1.558251864942917196e-02 -1.510113831798551871e+02
-1.507615549793986816e+02 2.448497477370265794e-05 8.992506392045701009e-07 -8.162253554213286244e-02 2.450148243231346971e-05 -3.671013173201093799e-02 -1.507615549793986816e+02
