# r=Infinity
# M=1.000000e+00
# u/M:0 Reh/M:1 Imh/M:2 Momega:3 A/M:4 phi:5 t:6
-1.615041675990273404e+02 -7.449749097594096246e-05 5.168407099710595545e-05 -2.162476871439418004e-03 9.067038853200252123e-05 -2.535060629493133266e+00 -1.615041675990273404e+02
-1.612543393985708349e+02 -7.241323920523381292e-05 5.006807441149924262e-05 -2.162476871439418004e-03 8.803686323052313653e-05 -2.536647267656615856e+00 -1.612543393985708349e+02
-1.610045111981143862e+02 -7.014680773062130937e-05 4.855351083117536825e-05 6.571287191802726788e-03 8.531130082720470985e-05 -2.536141124903774191e+00 -1.610045111981143862e+02
-1.607546829976578806e+02 -6.764387906421257890e-05 4.709946351129461726e-05 1.490043486235583838e-02 8.242605072369771650e-05 -2.533363881948994312e+00 -1.607546829976578806e+02
-1.605048547972014035e+02 -6.493913720409306728e-05 4.566774775732649157e-05 2.157003454196840253e-02 7.938913481099805309e-05 -2.528696027248411138e+00 -1.605048547972014035e+02
-1.602550265967449548e+02 -6.210815094224457944e-05 4.424646975363890391e-05 2.661065802295489030e-02 7.625727833541082949e-05 -2.522586276122186888e+00 -1.602550265967449548e+02
-1.600051983962884492e+02 -5.922270860267477032e-05 4.283576867575021358e-05 3.060927624562018862e-02 7.309057594710628443e-05 -2.515399841634736067e+00 -1.600051983962884492e+02
-1.597553701958319721e+02 -5.632331920122709168e-05 4.143831444212436204e-05 3.422944354889333185e-02 6.992460360736906042e-05 -2.507292155318749050e+00 -1.597553701958319721e+02
-1.595055419953754665e+02 -5.342947529571578230e-05 4.005496690931123667e-05 3.785739081013553275e-02 6.677656178990888972e-05 -2.498296881065841912e+00 -1.595055419953754665e+02
-1.592557137949190462e+02 -5.056090870502019029e-05 3.869384424113283708e-05 4.148955987194238165e-02 6.366803806647755625e-05 -2.488376467678602655e+00 -1.592557137949190462e+02
-1.590058855944625691e+02 -4.775614055424481241e-05 3.737284108720791137e-05 4.464442598533791690e-02 6.064139025093737086e-05 -2.477566356904767009e+00 -1.590058855944625691e+02
-1.587560573940060635e+02 -4.506958481233860225e-05 3.611351353675403285e-05 4.644805139991275283e-02 5.775338375477144390e-05 -2.466069594469942672e+00 -1.587560573940060635e+02
-1.585062291935495864e+02 -4.255630906689429393e-05 3.492584153501891069e-05 4.596957279247216449e-02 5.505319108213693269e-05 -2.454358290712865376e+00 -1.585062291935495864e+02
-1.582564009930930808e+02 -4.025124060428444597e-05 3.379952560211424022e-05 4.283443634240022280e-02 5.256015887639584288e-05 -2.443100603176948660e+00 -1.582564009930930808e+02
-1.580065727926366321e+02 -3.815733991148062277e-05 3.270699239428832296e-05 3.773203834545248159e-02 5.025664076119996671e-05 -2.432955790414886632e+00 -1.580065727926366321e+02
-1.577567445921801266e+02 -3.624348974279240673e-05 3.161815476082623929e-05 3.239607767337021604e-02 4.809675934213715085e-05 -2.424247548698150290e+00 -1.577567445921801266e+02
-1.575069163917236779e+02 -3.445456112551134354e-05 3.051429184926449852e-05 2.895312039962831888e-02 4.602432823424680136e-05 -2.416768882840913957e+00 -1.575069163917236779e+02
