# r=Infinity
# M=1.000000e+00
# u/M:0 Reh/M:1 Imh/M:2 Momega:3 A/M:4 phi:5 t:6
-1.615041675990273404e+02 -4.383183203303930571e-04 1.249268489193896485e-04 -2.814573289362733502e-02 4.557737020914930451e-04 -2.863940566875982086e+00 -1.615041675990273404e+02
-1.612543393985708349e+02 -4.367545683318390824e-04 1.210118486784405093e-04 -2.814573289362733502e-02 4.532090251520868923e-04 -2.871302446699155020e+00 -1.612543393985708349e+02
-1.610045111981143862e+02 -4.347100216394749785e-04 1.173143669216198054e-04 -2.520842404274461698e-02 4.502615502127771722e-04 -2.878003762474669269e+00 -1.610045111981143862e+02
-1.607546829976578806e+02 -4.321959607195612692e-04 1.139072177457265658e-04 -2.210865975426690513e-02 4.469543631254502855e-04 -2.883897997129040380e+00 -1.607546829976578806e+02
-1.605048547972014035e+02 -4.292928340275300450e-04 1.107796988759411318e-04 -1.953022163421264459e-02 4.433559281552832483e-04 -2.889050495836495980e+00 -1.605048547972014035e+02
-1.602550265967449548e+02 -4.260479054332810128e-04 1.078518020390761253e-04 -1.779154977519702835e-02 4.394870065510037872e-04 -2.893656397379822831e+00 -1.602550265967449548e+02
-1.600051983962884492e+02 -4.224725545469572535e-04 1.050230495567089161e-04 -1.685411108112322767e-02 4.353307940906807924e-04 -2.897940157563834607e+00 -1.600051983962884492e+02
-1.597553701958319721e+02 -4.186068242962255386e-04 1.022249209480047218e-04 -1.648355409300867117e-02 4.309078878486640677e-04 -2.902077661863204483e+00 -1.597553701958319721e+02
-1.595055419953754665e+02 -4.145606662871308438e-04 9.943817922061615026e-05 -1.645948694792045627e-02 4.263197127967943896e-04 -2.906176270876201784e+00 -1.595055419953754665e+02
-1.592557137949190462e+02 -4.104982256892825555e-04 9.667456931880369201e-05 -1.670763154937122269e-02 4.217283078559291832e-04 -2.910301749872475696e+00 -1.592557137949190462e+02
-1.590058855944625691e+02 -4.065795254815883215e-04 9.394144266541175955e-05 -1.728363321484651868e-02 4.172911515847087878e-04 -2.914524345923939386e+00 -1.590058855944625691e+02
-1.587560573940060635e+02 -4.029110908812103724e-04 9.122264731208498472e-05 -1.825220895577000374e-02 4.131088458720195392e-04 -2.918937627839305993e+00 -1.587560573940060635e+02
-1.585062291935495864e+02 -3.995296763457879992e-04 8.848235638327628090e-05 -1.957635887646299103e-02 4.092103244935386681e-04 -2.923644178959491136e+00 -1.585062291935495864e+02
-1.582564009930930808e+02 -3.964153440667674325e-04 8.568454712654138047e-05 -2.107970316489253190e-02 4.055699281601807043e-04 -2.928719080858500412e+00 -1.582564009930930808e+02
