# r=Infinity
# M=1.000000e+00
# u/M:0 Reh/M:1 Imh/M:2 Momega:3 A/M:4 phi:5 t:6
-1.615041675990273404e+02 6.222512958585167111e-04 -4.145144035396088424e-04 8.195819655198920096e-04 7.476756422001460886e-04 5.876467213543897783e-01 -1.615041675990273404e+02
-1.612543393985708349e+02 6.156811904952759961e-04 -4.103350794679364705e-04 8.195819655198920096e-04 7.398906714992681830e-04 5.878687276445663246e-01 -1.612543393985708349e+02
-1.610045111981143862e+02 6.090485797213693797e-04 -4.060795659751547629e-04 6.829253499543326816e-04 7.320114660052718823e-04 5.880562307295346125e-01 -1.610045111981143862e+02
-1.607546829976578806e+02 6.022932426773661054e-04 -4.017092454101875453e-04 5.432648243659468244e-04 7.239664826653502199e-04 5.882099556670167262e-01 -1.607546829976578806e+02
-1.605048547972014035e+02 5.954043691450486286e-04 -3.972158787013958499e-04 3.409535818284835178e-04 7.157421442737149425e-04 5.883276764764199251e-01 -1.605048547972014035e+02
-1.602550265967449548e+02 5.884341249567230127e-04 -3.926105375526604217e-04 -1.562175519837785079e-05 7.073879795493937146e-04 5.883803153065915170e-01 -1.602550265967449548e+02
-1.600051983962884492e+02 5.814695238792323521e-04 -3.879128786752696653e-04 -5.354962602340411276e-04 6.989872735912117324e-04 5.883198709664415604e-01 -1.600051983962884492e+02
-1.597553701958319721e+02 5.745966164032847772e-04 -3.831558371921149359e-04 -1.097854644795700227e-03 6.906299060687236344e-04 5.881127511725006141e-01 -1.597553701958319721e+02
-1.595055419953754665e+02 5.678625764855508434e-04 -3.783853715518505014e-04 -1.511385550012355394e-03 6.823806820076605334e-04 5.877713208658973398e-01 -1.595055419953754665e+02
-1.592557137949190462e+02 5.612665826702047719e-04 -3.736550121671350561e-04 -1.628055748275251003e-03 6.742686741499354227e-04 5.873575777081896376e-01 -1.592557137949190462e+02
-1.590058855944625691e+02 5.547728803341285455e-04 -3.690119698545207849e-04 -1.428690452478190587e-03 6.662903140899911498e-04 5.869578523902285738e-01 -1.590058855944625691e+02
-1.587560573940060635e+02 5.483401578888585882e-04 -3.644847819363125629e-04 -1.029916726283004085e-03 6.584269777406904275e-04 5.866437233786856442e-01 -1.587560573940060635e+02
-1.585062291935495864e+02 5.419455251886685443e-04 -3.600776039628240770e-04 -6.111362261737762931e-04 6.506618423940581245e-04 5.864432479055339265e-01 -1.585062291935495864e+02
-1.582564009930930808e+02 5.355948185738673489e-04 -3.557771218462408257e-04 -3.136199164983882563e-04 6.429923561850240743e-04 5.863383652514481126e-01 -1.582564009930930808e+02
-1.580065727926366321e+02 5.293134312511412485e-04 -3.515650830721613724e-04 -1.826919917099374669e-04 6.354295524591159613e-04 5.862865457068017205e-01 -1.580065727926366321e+02
-1.577567445921801266e+02 5.231291145138365628e-04 -3.474277659506034861e-04 -1.811577327973795670e-04 6.279889513402747920e-04 5.862470820283947059e-01 -1.577567445921801266e+02
-1.575069163917236779e+02 5.170564642174154887e-04 -3.433566740763645069e-04 -2.423693405764319481e-04 6.206780105834250284e-04 5.861960290860346312e-01 -1.575069163917236779e+02
-1.572570881912671723e+02 5.110920577901472252e-04 -3.393443622334986714e-04 -3.168457365305603433e-04 6.134897617041600807e-04 5.861259806359906399e-01 -1.572570881912671723e+02
-1.570072599908106952e+02 5.052179106116805405e-04 -3.353799189661564963e-04 -3.892380517135318697e-04 6.064031886860240953e-04 5.860377150856751483e-01 -1.570072599908106952e+02
-1.567574317903542180e+02 4.994102065829942455e-04 -3.314481596836131496e-04 -4.685506905218392846e-04 5.993900541358047722e-04 5.859314953519730862e-01 -1.567574317903542180e+02
-1.565076035898977409e+02 4.936472365156055475e-04 -3.275324602902202260e-04 -5.669467074090922716e-04 5.924230807988990549e-04 5.858036007340037266e-01 -1.565076035898977409e+02
-1.562577753894412638e+02 4.879150433688419987e-04 -3.236200007125846086e-04 -6.830471862671476423e-04 5.854835560516044243e-04 5.856482168006396094e-01 -1.562577753894412638e+02
-1.560079471889847866e+02 4.822089469328720416e-04 -3.197062446817142936e-04 -7.979058132511027569e-04 5.785650796501578489e-04 5.854623118352597633e-01 -1.560079471889847866e+02
-1.557581189885283095e+02 4.765323600021112351e-04 -3.157967044188303104e-04 -8.831797173656812843e-04 5.716735507708711576e-04 5.852495380537230396e-01 -1.557581189885283095e+02
-1.555082907880718324e+02 4.708930661520335098e-04 -3.119047214514342387e-04 -9.151899948022569099e-04 5.648228350675636895e-04 5.850210254363215068e-01 -1.555082907880718324e+02
-1.552584625876153552e+02 4.652993013676709629e-04 -3.080464645851570997e-04 -8.866160467677952671e-04 5.580287306193626624e-04 5.847922575147685986e-01 -1.552584625876153552e+02
-1.550086343871588497e+02 4.597565741788421883e-04 -3.042353143082704675e-04 -8.088181783841066333e-04 5.513032141870001165e-04 5.845780220534018135e-01 -1.550086343871588497e+02
-1.547588061867024010e+02 4.542668908184832599e-04 -3.004785975542454703e-04 -7.031334472916197500e-04 5.446519950225629878e-04 5.843881263347642241e-01 -1.547588061867024010e+02
-1.545089779862458954e+02 4.488294950990687118e-04 -2.967778432496839141e-04 -5.864445012514933131e-04 5.380752771823091698e-04 5.842266969257665643e-01 -1.545089779862458954e+02
-1.542591497857894183e+02 4.434423605489894822e-04 -2.931318694192222942e-04 -4.606521353025264868e-04 5.315707102526135396e-04 5.840951055859336938e-01 -1.542591497857894183e+02
-1.540093215853329696e+02 4.381025708817229175e-04 -2.895400163307713394e-04 -3.137310332749396972e-04 5.251354907735701454e-04 5.839965291377684498e-01 -1.540093215853329696e+02
-1.537594933848764640e+02 4.328057689745728478e-04 -2.860032052911731727e-04 -1.329077927337843845e-04 5.187664860941734171e-04 5.839383478669928351e-01 -1.537594933848764640e+02
-1.535096651844199869e+02 4.275452148141427517e-04 -2.825219151484542916e-04 7.780109071629224854e-05 5.124583331839008575e-04 5.839301209083977984e-01 -1.535096651844199869e+02
-1.532598369839635097e+02 4.223123054631859326e-04 -2.790925859612717361e-04 2.873458239827526828e-04 5.062018914269100041e-04 5.839772216799672400e-01 -1.532598369839635097e+02
-1.530100087835070326e+02 4.170987801480102362e-04 -2.757049520131545496e-04 4.429666203706185239e-04 4.999846127287658126e-04 5.840736950886263879e-01 -1.530100087835070326e+02
-1.527601805830505270e+02 4.119000830159589449e-04 -2.723424858700686409e-04 4.902616541202820021e-04 4.937935884541662206e-04 5.841985527872262107e-01 -1.527601805830505270e+02
-1.525103523825940499e+02 4.067176748805234978e-04 -2.689861604920952293e-04 3.985137619703526157e-04 4.876195459541161794e-04 5.843186574622297735e-01 -1.525103523825940499e+02
-1.522605241821376012e+02 4.015590352831933138e-04 -2.656200606550982888e-04 1.790173834058095801e-04 4.814599416773808743e-04 5.843976727392465875e-01 -1.522605241821376012e+02
-1.520106959816811241e+02 3.964348099622817942e-04 -2.622364741621144670e-04 -1.116791805271836959e-04 4.753193946503843467e-04 5.844081046437231697e-01 -1.520106959816811241e+02
-1.517608677812246469e+02 3.913545536296627377e-04 -2.588386896633137666e-04 -3.844558322684690039e-04 4.692076873979089072e-04 5.843418715218474668e-01 -1.517608677812246469e+02
-1.515110395807681414e+02 3.863226321590693731e-04 -2.554407304451405242e-04 -5.411484261660001434e-04 4.631362033880083180e-04 5.842160088262619011e-01 -1.515110395807681414e+02
-1.512612113803116642e+02 3.813360559605632463e-04 -2.520643514117272229e-04 -5.013978717959267873e-04 4.571144548449245296e-04 5.840714832468696383e-01 -1.512612113803116642e+02
-1.510113831798551871e+02 3.763846592713158772e-04 -2.487341371330871334e-04 -2.255392053727575609e-04 4.511475176814408418e-04 5.839654821702149334e-01 -1.510113831798551871e+02
-1.507615549793986816e+02 3.714536202444828315e-04 -2.454718847738285108e-04 2.723160229370746974e-04 4.452350370390320403e-04 5.839587911392483122e-01 -1.507615549793986816e+02
