# r=Infinity
# M=1.000000e+00
# u/M:0 Reh/M:1 Imh/M:2 Momega:3 A/M:4 phi:5 t:6
-1.615041675990273404e+02 1.756654519765151129e-04 6.043888325634070652e-05 -7.710330607573373171e-03 1.857719290619197028e-04 -3.313703781524450220e-01 -1.615041675990273404e+02
-1.612543393985708349e+02 1.718376555899431063e-04 5.945597673628958524e-05 -7.710330607573373171e-03 1.818328711985655081e-04 -3.331076788512447040e-01 -1.612543393985708349e+02
-1.610045111981143862e+02 1.677412149832052614e-04 5.843618161866998749e-05 -9.230345138485631859e-03 1.776285521142703867e-04 -3.352228941936741258e-01 -1.610045111981143862e+02
-1.607546829976578806e+02 1.630390598624110847e-04 5.725496230124647748e-05 -1.099186940434840679e-02 1.728000745050071432e-04 -3.377196798823248192e-01 -1.607546829976578806e+02
-1.605048547972014035e+02 1.575792414995292809e-04 5.586839769003279559e-05 -1.337995164932738804e-02 1.671899973443944775e-04 -3.407150520995563814e-01 -1.605048547972014035e+02
-1.602550265967449548e+02 1.513378762802752343e-04 5.428503357636326718e-05 -1.630815872377583756e-02 1.607794068511598042e-04 -3.444050583678167077e-01 -1.602550265967449548e+02
-1.600051983962884492e+02 1.443754193041142696e-04 5.251527761372610983e-05 -1.897713336861984318e-02 1.536298020635499509e-04 -3.488635279929954147e-01 -1.600051983962884492e+02
-1.597553701958319721e+02 1.368544046517828944e-04 5.055946678267416046e-05 -2.032230424664027701e-02 1.458951258745207929e-04 -3.538871045264269655e-01 -1.597553701958319721e+02
-1.595055419953754665e+02 1.290424750305234911e-04 4.842729119858539560e-05 -1.977598884682810199e-02 1.378301958746190961e-04 -3.590176973911303193e-01 -1.595055419953754665e+02
-1.592557137949190462e+02 1.212721792391505674e-04 4.616967407594967847e-05 -1.781667797915467005e-02 1.297635552136734553e-04 -3.637683039381272576e-01 -1.592557137949190462e+02
-1.590058855944625691e+02 1.138470552647121955e-04 4.388486100713223144e-05 -1.589070469906328845e-02 1.220124297686991677e-04 -3.679199145864188170e-01 -1.590058855944625691e+02
