# r=Infinity
# M=1.000000e+00
# u/M:0 Reh/M:1 Imh/M:2 Momega:3 A/M:4 phi:5 t:6
-1.615041675990273404e+02 -7.954490614137353372e-05 -4.856003386778672443e-05 3.823117270446620836e-02 9.319586354705083377e-05 2.593507835278926699e+00 -1.615041675990273404e+02
-1.612543393985708349e+02 -7.789611349510173186e-05 -4.650794025709511131e-05 3.823117270446620836e-02 9.072371798267142302e-05 2.603344472537373999e+00 -1.612543393985708349e+02
-1.610045111981143862e+02 -7.605290328564027883e-05 -4.445678873742658384e-05 3.446712833392577557e-02 8.809341725134252495e-05 2.612610285435121860e+00 -1.610045111981143862e+02
-1.607546829976578806e+02 -7.393540635118786271e-05 -4.243342195329391161e-05 2.943688363610913808e-02 8.524693314707312473e-05 2.620566193830508261e+00 -1.607546829976578806e+02
-1.605048547972014035e+02 -7.158990266027525642e-05 -4.044711442935882513e-05 2.357514745187480262e-02 8.222580634186164145e-05 2.627318612766834427e+00 -1.605048547972014035e+02
-1.602550265967449548e+02 -6.906214717377175604e-05 -3.856226658807437077e-05 1.373610554535777302e-02 7.909885319435058554e-05 2.632345667157303559e+00 -1.602550265967449548e+02
-1.600051983962884492e+02 -6.634332063181529941e-05 -3.688451044275600337e-05 -2.170305577466680787e-03 7.590720191824769630e-05 2.634181945826188365e+00 -1.600051983962884492e+02
-1.597553701958319721e+02 -6.340346158637979828e-05 -3.549286957363329258e-05 -2.221184606579095985e-02 7.266183820759342332e-05 2.631261260083585185e+00 -1.597553701958319721e+02
-1.595055419953754665e+02 -6.026062658871417140e-05 -3.438373283716108489e-05 -4.115256625748558994e-02 6.937999856357533420e-05 2.623083654763322059e+00 -1.595055419953754665e+02
-1.592557137949190462e+02 -5.701101774217589945e-05 -3.347219062738171231e-05 -5.365816223352551373e-02 6.611084396220089489e-05 2.610699116939039222e+00 -1.592557137949190462e+02
-1.590058855944625691e+02 -5.380119168280412574e-05 -3.264031673606838902e-05 -5.719246726287818827e-02 6.292820117499544946e-05 2.596273010542118342e+00 -1.590058855944625691e+02
-1.587560573940060635e+02 -5.076807480674668628e-05 -3.179155842344884053e-05 -5.279089058870241324e-02 5.990075631054243155e-05 2.582122534587135920e+00 -1.587560573940060635e+02
-1.585062291935495864e+02 -4.799545665438553332e-05 -3.087861070810497507e-05 -4.382217738053006961e-02 5.707059189044472490e-05 2.569895704149576243e+00 -1.585062291935495864e+02
-1.582564009930930808e+02 -4.550412797096304668e-05 -2.990179833797359317e-05 -3.412897295197802466e-02 5.444945551833022256e-05 2.560226503157009947e+00 -1.582564009930930808e+02
-1.580065727926366321e+02 -4.326643715416897922e-05 -2.889100580240590380e-05 -2.671435936529051661e-02 5.202571287632977567e-05 2.552842944357535337e+00 -1.580065727926366321e+02
-1.577567445921801266e+02 -4.122489239364401063e-05 -2.788471685050241246e-05 -2.323881072613895316e-02 4.976996269538707567e-05 2.546878502503853614e+00 -1.577567445921801266e+02
-1.575069163917236779e+02 -3.930891578902983191e-05 -2.691352112027707238e-05 -2.401060863490388914e-02 4.763956842374455201e-05 2.541231523828615391e+00 -1.575069163917236779e+02
-1.572570881912671723e+02 -3.744891277937358786e-05 -2.599084649578157512e-05 -2.821050610779804457e-02 4.558448387252412312e-05 2.534881448209608035e+00 -1.572570881912671723e+02
