# r=Infinity
# M=1.000000e+00
# u/M:0 Reh/M:1 Imh/M:2 Momega:3 A/M:4 phi:5 t:6
-1.615041675990273404e+02 -3.977594286668183210e-04 -4.919786153443601949e-05 5.345090526158098902e-04 4.007904598077594569e-04 3.018530194118072441e+00 -1.615041675990273404e+02
-1.612543393985708349e+02 -3.935752878989100733e-04 -4.864494913445364591e-05 5.345090526158098902e-04 3.965700925700316702e-04 3.018618750859608735e+00 -1.612543393985708349e+02
-1.610045111981143862e+02 -3.895880192212755697e-04 -4.808152458278093044e-05 4.742703131265630333e-04 3.925438290521983376e-04 3.018797264987557849e+00 -1.610045111981143862e+02
-1.607546829976578806e+02 -3.857842507156412459e-04 -4.758918188009013227e-05 -3.290614311139883797e-04 3.887083975581760286e-04 3.018855723057325413e+00 -1.607546829976578806e+02
-1.605048547972014035e+02 -3.821191675420614335e-04 -4.722353168713075617e-05 -1.515541146461937220e-03 3.850261291757267655e-04 3.018632847337208158e+00 -1.605048547972014035e+02
-1.602550265967449548e+02 -3.785561081879695411e-04 -4.698859092038130996e-05 -2.507194981966822007e-03 3.814612099848483967e-04 3.018098473222648792e+00 -1.602550265967449548e+02
-1.600051983962884492e+02 -3.750703282443170069e-04 -4.682952753776106221e-05 -2.903295489434097598e-03 3.779824807827865895e-04 3.017380111316131597e+00 -1.600051983962884492e+02
-1.597553701958319721e+02 -3.716541924615560945e-04 -4.667943075514173202e-05 -2.783360773837323561e-03 3.745741689303674384e-04 3.016647823047611254e+00 -1.597553701958319721e+02
-1.595055419953754665e+02 -3.683069448962669637e-04 -4.650537192833149240e-05 -2.602468285070897152e-03 3.712314039477456113e-04 3.015989387289433665e+00 -1.595055419953754665e+02
-1.592557137949190462e+02 -3.650347037278258247e-04 -4.633026515615911291e-05 -2.801828852135835983e-03 3.679630802065630307e-04 3.015347483110802695e+00 -1.592557137949190462e+02
-1.590058855944625691e+02 -3.618478790036406471e-04 -4.620453619062331432e-05 -3.426814831768848491e-03 3.647858915912510899e-04 3.014589435569201559e+00 -1.590058855944625691e+02
-1.587560573940060635e+02 -3.587595827242675466e-04 -4.615813620050644722e-05 -4.068890761929358502e-03 3.617167562250815692e-04 3.013635253145365844e+00 -1.587560573940060635e+02
-1.585062291935495864e+02 -3.557738406756761913e-04 -4.616422954255093553e-05 -4.155472814624465439e-03 3.587564101146887424e-04 3.012556388255387851e+00 -1.585062291935495864e+02
-1.582564009930930808e+02 -3.528756107439221228e-04 -4.614610940142518334e-05 -3.366760277386100959e-03 3.558801203646873887e-04 3.011558944554718842e+00 -1.582564009930930808e+02
-1.580065727926366321e+02 -3.500276694397542695e-04 -4.601749225816098110e-05 -1.868054392217810599e-03 3.530396280407565863e-04 3.010874164932452413e+00 -1.580065727926366321e+02
-1.577567445921801266e+02 -3.471815270848786815e-04 -4.573112114737484649e-05 -2.229041065948913125e-04 3.501804508969400768e-04 3.010625559220393654e+00 -1.577567445921801266e+02
