# r=Infinity
# M=1.000000e+00
# u/M:0 Reh/M:1 Imh/M:2 Momega:3 A/M:4 phi:5 t:6
-1.615041675990273404e+02 6.245978358222070833e-04 4.026574543130634646e-04 -7.283126902548936639e-04 7.431389385758637974e-04 -5.726168671584536130e-01 -1.615041675990273404e+02
-1.612543393985708349e+02 6.180972604352995888e-04 3.987249764805060321e-04 -7.283126902548936639e-04 7.355445807203003826e-04 -5.729119357793006628e-01 -1.612543393985708349e+02
-1.610045111981143862e+02 6.117118739815277997e-04 3.946654967195311107e-04 -9.249229070619070900e-05 7.279782078269010897e-04 -5.729807732560056044e-01 -1.610045111981143862e+02
-1.607546829976578806e+02 6.052491986371634448e-04 3.904765028226243645e-04 5.183585765476617714e-05 7.202766771925323561e-04 -5.729581501443871128e-01 -1.607546829976578806e+02
-1.605048547972014035e+02 5.986393184139123013e-04 3.862093605361238387e-04 -4.554202476504611870e-05 7.124090845271382208e-04 -5.729548731379315862e-01 -1.605048547972014035e+02
-1.602550265967449548e+02 5.919187144012131880e-04 3.818954170955432049e-04 -2.305451658860395198e-05 7.044230788787118587e-04 -5.729809055085715030e-01 -1.602550265967449548e+02
-1.600051983962884492e+02 5.851431322361506232e-04 3.775119050485972348e-04 2.842787720894103683e-04 6.963531601540661484e-04 -5.729663924747150361e-01 -1.600051983962884492e+02
-1.597553701958319721e+02 5.783413949295286528e-04 3.730192391571322363e-04 7.440824304611851113e-04 6.882020937707170570e-04 -5.728388638004533462e-01 -1.597553701958319721e+02
-1.595055419953754665e+02 5.715104445094955181e-04 3.684157696263621815e-04 1.062497136498293925e-03 6.799664458580481283e-04 -5.725946069255282156e-01 -1.595055419953754665e+02
-1.592557137949190462e+02 5.646517803170788543e-04 3.637653759962856449e-04 1.019651844211774813e-03 6.716821285317674207e-04 -5.723079803052503189e-01 -1.592557137949190462e+02
-1.590058855944625691e+02 5.577959475748980314e-04 3.591727765864236358e-04 6.157411635588691924e-04 6.634315357079276958e-04 -5.720851313548651618e-01 -1.590058855944625691e+02
-1.587560573940060635e+02 5.510024859288722076e-04 3.547322669836664214e-04 4.695514885409816263e-05 6.553157412569670043e-04 -5.720003212915725221e-01 -1.587560573940060635e+02
-1.585062291935495864e+02 5.443323350499888573e-04 3.504852985492372419e-04 -4.367264862833130073e-04 6.474083992968590650e-04 -5.720616699141843897e-01 -1.585062291935495864e+02
-1.582564009930930808e+02 5.378222319692763358e-04 3.464129199564904785e-04 -6.700868127071850453e-04 6.397301496046563837e-04 -5.722185344758922154e-01 -1.582564009930930808e+02
-1.580065727926366321e+02 5.314737291273968853e-04 3.424576567071527461e-04 -6.272693044845354185e-04 6.322511932688902733e-04 -5.723964830793208947e-01 -1.580065727926366321e+02
-1.577567445921801266e+02 5.252627042047562211e-04 3.385562634432458988e-04 -3.896874003706218533e-04 6.249169960443912717e-04 -5.725319535989741304e-01 -1.577567445921801266e+02
-1.575069163917236779e+02 5.191551170358438922e-04 3.346631718555413714e-04 -7.680816730450056268e-05 6.176742459751032640e-04 -5.725911928832712050e-01 -1.575069163917236779e+02
-1.572570881912671723e+02 5.131212650051653361e-04 3.307584148237164537e-04 2.107608930868534074e-04 6.104871510336632758e-04 -5.725703312914102172e-01 -1.572570881912671723e+02
-1.570072599908106952e+02 5.071410162733324149e-04 3.268429235761290803e-04 4.137192611238643398e-04 6.033392968127799117e-04 -5.724858848539782219e-01 -1.570072599908106952e+02
-1.567574317903542180e+02 5.012040202549526572e-04 3.229299103377854707e-04 5.103837053924365147e-04 5.962291479880006380e-04 -5.723636138144087004e-01 -1.567574317903542180e+02
-1.565076035898977409e+02 4.953067753818369071e-04 3.190372298657249668e-04 5.048837508388084698e-04 5.891634372392340465e-04 -5.722308683686572195e-01 -1.565076035898977409e+02
-1.562577753894412638e+02 4.894510268170516312e-04 3.151826567287484824e-04 4.184482750987044255e-04 5.821532571023358077e-04 -5.721113454165851486e-01 -1.562577753894412638e+02
-1.560079471889847866e+02 4.836420766936589126e-04 3.113807041216195073e-04 2.832223162857977028e-04 5.752109189226423417e-04 -5.720217880095531671e-01 -1.560079471889847866e+02
-1.557581189885283095e+02 4.778876590936878034e-04 3.076407478854692413e-04 1.351063512905342496e-04 5.683479959264179119e-04 -5.719698315733715566e-01 -1.557581189885283095e+02
-1.555082907880718324e+02 4.721957027399055072e-04 3.039661585685101254e-04 5.258688149871474338e-06 5.615729758819684248e-04 -5.719542812563268575e-01 -1.555082907880718324e+02
-1.552584625876153552e+02 4.665725635990868383e-04 3.003549077465000557e-04 -8.594978364207268699e-05 5.548901041745405707e-04 -5.719672040361770682e-01 -1.552584625876153552e+02
-1.550086343871588497e+02 4.610212223352275294e-04 2.968008231524837883e-04 -1.301387882644673645e-04 5.482985464757855363e-04 -5.719972266158807050e-01 -1.550086343871588497e+02
-1.547588061867024010e+02 4.555405840584430405e-04 2.932949973735966224e-04 -1.288029284289536895e-04 5.417925610496009082e-04 -5.720322287147404650e-01 -1.547588061867024010e+02
