# r=Infinity
# M=1.000000e+00
# u/M:0 Reh/M:1 Imh/M:2 Momega:3 A/M:4 phi:5 t:6
-1.615041675990273404e+02 -4.438247601447110088e-04 5.542366343046879274e-05 -7.552660854552994442e-03 4.472719532740278107e-04 -3.017358416134831689e+00 -1.615041675990273404e+02
-1.612543393985708349e+02 -4.406822301830534650e-04 5.407111079238149931e-05 -7.552660854552994442e-03 4.439870640248786229e-04 -3.019504250557803804e+00 -1.612543393985708349e+02
-1.610045111981143862e+02 -4.374421938144577187e-04 5.295087307355933725e-05 -5.560297620447831636e-03 4.406353003204098559e-04 -3.021132151474733796e+00 -1.610045111981143862e+02
-1.607546829976578806e+02 -4.342124656725265906e-04 5.205318642238454622e-05 -4.136262781271023495e-03 4.373213916127801368e-04 -3.022282488854841631e+00 -1.607546829976578806e+02
-1.605048547972014035e+02 -4.310828722974769842e-04 5.127734647112297479e-05 -3.756400472052857323e-03 4.341218827119435646e-04 -3.023198861649253999e+00 -1.605048547972014035e+02
-1.602550265967449548e+02 -4.280806752377344952e-04 5.050327721456188048e-05 -4.202218352231864087e-03 4.310494699235872655e-04 -3.024159398395095177e+00 -1.602550265967449548e+02
-1.600051983962884492e+02 -4.251860899834217873e-04 4.967076833416545287e-05 -4.825453744266443128e-03 4.280775587931430113e-04 -3.025298526946980537e+00 -1.600051983962884492e+02
-1.597553701958319721e+02 -4.223699269327171814e-04 4.879730026242568215e-05 -5.065642074764829285e-03 4.251794111784461933e-04 -3.026570467245727425e+00 -1.597553701958319721e+02
-1.595055419953754665e+02 -4.196271795343244721e-04 4.794508043901273274e-05 -4.813049360865325269e-03 4.223573138259068254e-04 -3.027829607434370907e+00 -1.595055419953754665e+02
-1.592557137949190462e+02 -4.169792498268194898e-04 4.715861804086668544e-05 -4.438915201464729322e-03 4.196374983740866222e-04 -3.028975338166793652e+00 -1.592557137949190462e+02
-1.590058855944625691e+02 -4.144539115325381550e-04 4.642300511788035510e-05 -4.501273534379422736e-03 4.170457291338633150e-04 -3.030047539827892322e+00 -1.590058855944625691e+02
-1.587560573940060635e+02 -4.120582706955986177e-04 4.566370286034896928e-05 -5.362036814831266408e-03 4.145807426877971174e-04 -3.031224428300506535e+00 -1.587560573940060635e+02
-1.585062291935495864e+02 -4.097652662098214167e-04 4.478655356321315260e-05 -6.960161565938439640e-03 4.122055418987915338e-04 -3.032726715844353826e+00 -1.585062291935495864e+02
-1.582564009930930808e+02 -4.075183968510969032e-04 4.372652057899451792e-05 -8.857067368513630787e-03 4.098576001174473430e-04 -3.034702117578316205e+00 -1.582564009930930808e+02
-1.580065727926366321e+02 -4.052520982121053206e-04 4.247927476637493338e-05 -1.047180969296791775e-02 4.074723940219643933e-04 -3.037152206248348918e+00 -1.580065727926366321e+02
-1.577567445921801266e+02 -4.029137522446589481e-04 4.110118153365145162e-05 -1.134338244514385488e-02 4.050046899374531843e-04 -3.039934424320549944e+00 -1.577567445921801266e+02
-1.575069163917236779e+02 -4.004774974609301907e-04 3.968536648933119608e-05 -1.128444430887438725e-02 4.024390069140439227e-04 -3.042819999895068683e+00 -1.575069163917236779e+02
-1.572570881912671723e+02 -3.979449113502800286e-04 3.832849077306385376e-05 -1.038819929418204752e-02 3.997864751020512985e-04 -3.045572769150224790e+00 -1.572570881912671723e+02
-1.570072599908106952e+02 -3.953376483743505738e-04 3.710491674062771453e-05 -8.931783419621600051e-03 3.970750949990323382e-04 -3.048010530166366472e+00 -1.570072599908106952e+02
-1.567574317903542180e+02 -3.926878462681249833e-04 3.605414534908320338e-05 -7.256471462957631013e-03 3.943395060142356194e-04 -3.050035591907406918e+00 -1.567574317903542180e+02
-1.565076035898977409e+02 -3.900317676439075260e-04 3.518079362152051612e-05 -5.679639262222631844e-03 3.916152040093324278e-04 -3.051636272580875442e+00 -1.565076035898977409e+02
-1.562577753894412638e+02 -3.874063527392308066e-04 3.446084153486592659e-05 -4.451215796598416256e-03 3.889360252560882273e-04 -3.052873460019652985e+00 -1.562577753894412638e+02
-1.560079471889847866e+02 -3.848470690010360150e-04 3.385041247687062141e-05 -3.738200049193213421e-03 3.863329094751603572e-04 -3.053860351045490695e+00 -1.560079471889847866e+02
-1.557581189885283095e+02 -3.823843195298323792e-04 3.329436212147290718e-05 -3.620920289161655686e-03 3.838310596751762639e-04 -3.054741275602125494e+00 -1.557581189885283095e+02
-1.555082907880718324e+02 -3.800388920416094391e-04 3.273471197914401901e-05 -4.093880109329764254e-03 3.814460916467379077e-04 -3.055669567045165902e+00 -1.555082907880718324e+02
-1.552584625876153552e+02 -3.778176948234502589e-04 3.211818398072015772e-05 -5.072589346188355504e-03 3.791804165089821010e-04 -3.056786809003322336e+00 -1.552584625876153552e+02
-1.550086343871588497e+02 -3.757122161051148655e-04 3.140291324152838818e-05 -6.406976888279588764e-03 3.770222968083870277e-04 -3.058204118781191916e+00 -1.550086343871588497e+02
-1.547588061867024010e+02 -3.737001129606160434e-04 3.056350641370076049e-05 -7.900537010065092000e-03 3.749478661775228140e-04 -3.059988096016052594e+00 -1.547588061867024010e+02
-1.545089779862458954e+02 -3.717496750039345232e-04 2.959444059787385396e-05 -9.334067028050738526e-03 3.729257992950233682e-04 -3.062151672668920632e+00 -1.545089779862458954e+02
-1.542591497857894183e+02 -3.698253892514909613e-04 2.851091846351994335e-05 -1.049566394210699888e-02 3.709227561186429411e-04 -3.064651922353168967e+00 -1.542591497857894183e+02
-1.540093215853329696e+02 -3.678935643554315238e-04 2.734670983716744428e-05 -1.121662248389377822e-02 3.689085486039355940e-04 -3.067395898339425386e+00 -1.540093215853329696e+02
-1.537594933848764640e+02 -3.659268726638434562e-04 2.614822964125929040e-05 -1.140703199267555264e-02 3.668599270169920108e-04 -3.070256379573870653e+00 -1.537594933848764640e+02
-1.535096651844199869e+02 -3.639076926245257237e-04 2.496570038880119812e-05 -1.107858419148641076e-02 3.647630668628742230e-04 -3.073095494889984902e+00 -1.535096651844199869e+02
-1.532598369839635097e+02 -3.618298164854293780e-04 2.384310868580076176e-05 -1.034378241541318057e-02 3.626145473221977986e-04 -3.075791865078199905e+00 -1.532598369839635097e+02
-1.530100087835070326e+02 -3.596985968586111841e-04 2.280978961707786059e-05 -9.389203037812805450e-03 3.604210968914403298e-04 -3.078263831983496956e+00 -1.530100087835070326e+02
-1.527601805830505270e+02 -3.575291698617320867e-04 2.187563502464147947e-05 -8.431337849444170071e-03 3.581977815533627578e-04 -3.080483240475514695e+00 -1.527601805830505270e+02
-1.525103523825940499e+02 -3.553429340749384097e-04 2.103097528896275293e-05 -7.668796711675352623e-03 3.559647492640120631e-04 -3.082476603908231638e+00 -1.525103523825940499e+02
-1.522605241821376012e+02 -3.531624155535053071e-04 2.025046341660900206e-05 -7.243370354012495377e-03 3.537425236357287874e-04 -3.084315003839803282e+00 -1.522605241821376012e+02
-1.520106959816811241e+02 -3.510055517481272124e-04 1.949972680579142479e-05 -7.216601013181890914e-03 3.515467774045264934e-04 -3.086095800269796907e+00 -1.520106959816811241e+02
-1.517608677812246469e+02 -3.488806463808699783e-04 1.874306329951912629e-05 -7.563915897582510969e-03 3.493837544033543329e-04 -3.087920824728874525e+00 -1.517608677812246469e+02
-1.515110395807681414e+02 -3.467837463060852122e-04 1.795079361092858660e-05 -8.186257784810932123e-03 3.472480348300699057e-04 -3.089875159263991478e+00 -1.515110395807681414e+02
-1.512612113803116642e+02 -3.446993998444760113e-04 1.710473633080827460e-05 -8.938391725572430654e-03 3.451235260860789655e-04 -3.092011140830579041e+00 -1.512612113803116642e+02
-1.510113831798551871e+02 -3.426048644234034506e-04 1.620060788906700589e-05 -9.669531863795197135e-03 3.429876861092158295e-04 -3.094341283903541129e+00 -1.510113831798551871e+02
-1.507615549793986816e+02 -3.404762272691038566e-04 1.524651351085719791e-05 -1.026609368126073403e-02 3.408174254782745066e-04 -3.096842584320156355e+00 -1.507615549793986816e+02
-1.505117267789422613e+02 -3.382943154284826469e-04 1.425801592745071002e-05 -1.068173409183504480e-02 3.385946468410467127e-04 -3.099470803323754797e+00 -1.505117267789422613e+02
-1.502618985784857557e+02 -3.360482519216443308e-04 1.325148911181865574e-05 -1.094216265065472288e-02 3.363094253559860782e-04 -3.102179781131991554e+00 -1.502618985784857557e+02
-1.500120703780292786e+02 -3.337358888566104823e-04 1.223841318481515229e-05 -1.112204905205021327e-02 3.339602106062848066e-04 -3.104938124931985399e+00 -1.500120703780292786e+02
-1.497622421775728014e+02 -3.313616317345053253e-04 1.122275806818491944e-05 -1.130461969867067873e-02 3.315516268764352259e-04 -3.107736984132116298e+00 -1.497622421775728014e+02
-1.495124139771163243e+02 -3.289333184203350785e-04 1.020220997703313297e-05 -1.154308546347899631e-02 3.290914964799744255e-04 -3.110586550524312877e+00 -1.495124139771163243e+02
-1.492625857766598187e+02 -3.264596178714241899e-04 9.172040274230861161e-06 -1.184175797899469397e-02 3.265884389006267776e-04 -3.113504560670229182e+00 -1.492625857766598187e+02
-1.490127575762033416e+02 -3.239487191835840061e-04 8.129350103993918190e-06 -1.216358031394654260e-02 3.240507043562749004e-04 -3.116503360696579961e+00 -1.490127575762033416e+02
-1.487629293757468929e+02 -3.214078883318198954e-04 7.075485228019651639e-06 -1.245668857984320345e-02 3.214857588963025052e-04 -3.119582171432111029e+00 -1.487629293757468929e+02
-1.485131011752903873e+02 -3.188430643622115475e-04 6.015761012233839209e-06 -1.268353516245858403e-02 3.188998103988801474e-04 -3.122727424879677915e+00 -1.485131011752903873e+02
-1.482632729748339386e+02 -3.162577549264812635e-04 4.957136667589512555e-06 -1.283718653020416399e-02 3.162966025032191725e-04 -3.125919580962237987e+00 -1.482632729748339386e+02
-1.480134447743774331e+02 -3.136513671098311641e-04 3.905489513872692640e-06 -1.293870058086829186e-02 3.136756811393083891e-04 -3.129141607299207983e+00 -1.480134447743774331e+02
-1.477636165739209559e+02 -3.110177218634115146e-04 2.863984399982244681e-06 -1.302089442362221010e-02 3.110309079814251357e-04 -3.132384485526965356e+00 -1.477636165739209559e+02
-1.475137883734644788e+02 -3.083448518464407175e-04 1.833154264637318584e-06 -1.311036750285432366e-02 3.083503009804943124e-04 -3.135647580543582613e+00 -1.475137883734644788e+02
-1.472639601730079733e+02 -3.056167001324322095e-04 8.121749373795482256e-07 -1.321869276478656978e-02 3.056177793060571839e-04 -3.138935164568088076e+00 -1.472639601730079733e+02
-1.470141319725515245e+02 -3.028166720921560400e-04 -1.997776976471346705e-07 -1.334682546042050520e-02 3.028167379919690446e-04 -3.142252384995209979e+00 -1.470141319725515245e+02
-1.467643037720950474e+02 -2.999321420053416092e-04 -1.203135577259941450e-06 -1.349885519885260163e-02 2.999345551001579156e-04 -3.145603991341254790e+00 -1.467643037720950474e+02
-1.465144755716385703e+02 -2.969586647789545391e-04 -2.198876799254072233e-06 -1.369619296612810920e-02 2.969668056306593138e-04 -3.148997174400313792e+00 -1.465144755716385703e+02
-1.462646473711820931e+02 -2.939025668515495514e-04 -3.190357793199362839e-06 -1.398310270759603284e-02 2.939198822549747136e-04 -3.152447381824919681e+00 -1.462646473711820931e+02
-1.460148191707255876e+02 -2.907810680279176020e-04 -4.184997078319031090e-06 -1.441825210713942353e-02 2.908111822540563880e-04 -3.155983921172787809e+00 -1.460148191707255876e+02
-1.457649909702691104e+02 -2.876196799993408783e-04 -5.194659807054815735e-06 -1.505297695034008704e-02 2.876665861956064938e-04 -3.159651553780228994e+00 -1.457649909702691104e+02
-1.455151627698126333e+02 -2.844474621011959677e-04 -6.233976673079314818e-06 -1.590300259822846965e-02 2.845157661026394389e-04 -3.163505237458820396e+00 -1.455151627698126333e+02
-1.452653345693561846e+02 -2.812913347596469513e-04 -7.316612881772420353e-06 -1.692470508327601972e-02 2.813864741506340718e-04 -3.167597590822168740e+00 -1.452653345693561846e+02
-1.450155063688996790e+02 -2.781710948608835969e-04 -8.450409716583072605e-06 -1.800760033567826157e-02 2.782994204817552356e-04 -3.171961774687243274e+00 -1.450155063688996790e+02
-1.447656781684432019e+02 -2.750966242730148027e-04 -9.633017724161879278e-06 -1.899055904547502019e-02 2.752652315801657574e-04 -3.176595203594973160e+00 -1.447656781684432019e+02
-1.445158499679867248e+02 -2.720681967912272868e-04 -1.084980643462152156e-05 -1.970063450017707149e-02 2.722844505382170013e-04 -3.181450529071230271e+00 -1.445158499679867248e+02
-1.442660217675302476e+02 -2.690797255568643485e-04 -1.207527201585934971e-05 -2.000352084705686248e-02 2.693505353624054094e-04 -3.186438751725033214e+00 -1.442660217675302476e+02
-1.440161935670737705e+02 -2.661238047298265580e-04 -1.327800864846534190e-05 -1.984793457349655343e-02 2.664548460012457361e-04 -3.191445416303257954e+00 -1.440161935670737705e+02
-1.437663653666172650e+02 -2.631967280071835003e-04 -1.442793315185771492e-05 -1.928650943184388039e-02 2.635918869933629046e-04 -3.196355899279582857e+00 -1.437663653666172650e+02
-1.435165371661608162e+02 -2.603017510605823794e-04 -1.550348574095102597e-05 -1.846363266995387775e-02 2.607630335675002980e-04 -3.201082044192146814e+00 -1.435165371661608162e+02
-1.432667089657043391e+02 -2.574495319322232930e-04 -1.649638675688295473e-05 -1.757317772667883055e-02 2.579775034148395455e-04 -3.205581371527230328e+00 -1.432667089657043391e+02
-1.430168807652478336e+02 -2.546557640772715669e-04 -1.741239429222285308e-05 -1.680092014879737417e-02 2.552503666065277931e-04 -3.209862594927663348e+00 -1.430168807652478336e+02
-1.427670525647913564e+02 -2.519369371188705351e-04 -1.826796870022126768e-05 -1.627252080115352759e-02 2.525983748270562031e-04 -3.213976058820804838e+00 -1.427670525647913564e+02
-1.425172243643348793e+02 -2.493056849349762076e-04 -1.908425292512969153e-05 -1.602539549803550303e-02 2.500350640422417388e-04 -3.217993264104948903e+00 -1.425172243643348793e+02
-1.422673961638784021e+02 -2.467670877192614919e-04 -1.988059898774263836e-05 -1.601264984796593044e-02 2.475666249670119062e-04 -3.221983250258559917e+00 -1.422673961638784021e+02
-1.420175679634219250e+02 -2.443168315073010119e-04 -2.066979526543816331e-05 -1.613404089484346896e-02 2.451896298665219901e-04 -3.225994087097062923e+00 -1.420175679634219250e+02
-1.417677397629654479e+02 -2.419414857716355562e-04 -2.145621143307402723e-05 -1.627894299861113239e-02 2.428910281308210937e-04 -3.230044727064259824e+00 -1.417677397629654479e+02
-1.415179115625089707e+02 -2.396206691253112159e-04 -2.223687940342687115e-05 -1.636392943020952701e-02 2.406502521869952939e-04 -3.234127965166416097e+00 -1.415179115625089707e+02
-1.412680833620524936e+02 -2.373305618522722601e-04 -2.300451888237364087e-05 -1.635321199650475316e-02 2.384428725672560576e-04 -3.238221069148151887e+00 -1.412680833620524936e+02
-1.410182551615960165e+02 -2.350481133898219357e-04 -2.375117272505829596e-05 -1.625979309223502672e-02 2.362450715124659510e-04 -3.242298952215956209e+00 -1.410182551615960165e+02
-1.407684269611395109e+02 -2.327552205271003413e-04 -2.447131822906188991e-05 -1.613338719804460752e-02 2.340381124912929982e-04 -3.246345378844207819e+00 -1.407684269611395109e+02
-1.405185987606830338e+02 -2.304421171913391528e-04 -2.516391223313534355e-05 -1.604409635666183623e-02 2.318119752180715875e-04 -3.250360102397866768e+00 -1.405185987606830338e+02
-1.402687705602265567e+02 -2.281092182454853986e-04 -2.583330743316377025e-05 -1.606837080551927477e-02 2.295673653233465178e-04 -3.254361914285678115e+00 -1.402687705602265567e+02
-1.400189423597701079e+02 -2.257668397405384372e-04 -2.648924858323497642e-05 -1.627870807278041648e-02 2.273155212846988797e-04 -3.258388766723086860e+00 -1.400189423597701079e+02
-1.397691141593136308e+02 -2.234326123230089998e-04 -2.714607660763459408e-05 -1.673467282015147703e-02 2.250756355642955647e-04 -3.262495674972835769e+00 -1.397691141593136308e+02
-1.395192859588571253e+02 -2.211269919733135599e-04 -2.782116529616725345e-05 -1.747240299915570755e-02 2.228702847344224403e-04 -3.266750353114860062e+00 -1.395192859588571253e+02
-1.392694577584006481e+02 -2.188678579711482322e-04 -2.853255206592523216e-05 -1.849266452146096362e-02 2.207198354934903359e-04 -3.271225872970695114e+00 -1.392694577584006481e+02
