# r=Infinity
# M=1.000000e+00
# u/M:0 Reh/M:1 Imh/M:2 Momega:3 A/M:4 phi:5 t:6
-1.615041675990273404e+02 -2.229845785140328125e-04 5.787381471156437749e-07 3.369965438920340811e-02 2.229853295464160961e-04 -3.138997241604443378e+00 -1.615041675990273404e+02
-1.612543393985708349e+02 -2.140617638104032544e-04 2.351435747995597678e-06 3.369965438920340811e-02 2.140746785019139386e-04 -3.130608248281436801e+00 -1.612543393985708349e+02
-1.610045111981143862e+02 -2.054616027139938295e-04 3.993373666808070002e-06 3.119257990260692476e-02 2.055004068683217837e-04 -3.122158993580323560e+00 -1.610045111981143862e+02
-1.607546829976578806e+02 -1.971869269259603772e-04 5.240485470760617027e-06 2.406917079065657578e-02 1.972565508125732425e-04 -3.115022676072110475e+00 -1.607546829976578806e+02
-1.605048547972014035e+02 -1.892252902263628586e-04 5.954987688744376756e-06 1.414762891908652107e-02 1.893189698356304571e-04 -3.110132678330104206e+00 -1.605048547972014035e+02
-1.602550265967449548e+02 -1.815649784547846953e-04 6.109956561730302727e-06 3.157349030018396455e-03 1.816677543497267476e-04 -3.107953722724948076e+00 -1.602550265967449548e+02
-1.600051983962884492e+02 -1.741827532093593515e-04 5.756668599083843130e-06 -7.350206733707402747e-03 1.742778550159264123e-04 -3.108555088677339207e+00 -1.600051983962884492e+02
-1.597553701958319721e+02 -1.670386107776068176e-04 5.007036812149488402e-06 -1.594190630599941205e-02 1.671136377084498866e-04 -3.111626300567478687e+00 -1.597553701958319721e+02
-1.595055419953754665e+02 -1.600786637939412759e-04 4.014347754951096929e-06 -2.147013668790475130e-02 1.601289904731537398e-04 -3.116520564205886856e+00 -1.595055419953754665e+02
-1.592557137949190462e+02 -1.532499911934123910e-04 2.948688555591130657e-06 -2.334739787090944416e-02 1.532783564792461245e-04 -3.122353991792065742e+00 -1.592557137949190462e+02
-1.590058855944625691e+02 -1.465103280258489744e-04 1.964295590259134348e-06 -2.171413783886322682e-02 1.465234953016333593e-04 -3.128186240996746914e+00 -1.590058855944625691e+02
-1.587560573940060635e+02 -1.398311545958797007e-04 1.173078602964149153e-06 -1.733855832264842578e-02 1.398360751345143404e-04 -3.133203599753560553e+00 -1.587560573940060635e+02
-1.585062291935495864e+02 -1.331938402848782015e-04 6.317552352436871043e-07 -1.132813561821827304e-02 1.331953385239547326e-04 -3.136849562645261269e+00 -1.585062291935495864e+02
-1.582564009930930808e+02 -1.265894756158120107e-04 3.454481386329950090e-07 -4.792944588241013562e-03 1.265899469590802187e-04 -3.138863775225613661e+00 -1.582564009930930808e+02
-1.580065727926366321e+02 -1.200228526119423759e-04 2.818460422819640745e-07 1.402499482757920204e-03 1.200231835367633962e-04 -3.139244388087996995e+00 -1.580065727926366321e+02
-1.577567445921801266e+02 -1.135178501653743427e-04 3.893275908481917931e-07 6.740231771325397823e-03 1.135185177939765659e-04 -3.138163007381776559e+00 -1.577567445921801266e+02
-1.575069163917236779e+02 -1.071153680683460994e-04 6.122851230712009304e-07 1.101865450981302612e-02 1.071171180040295464e-04 -3.135876588139817400e+00 -1.575069163917236779e+02
-1.572570881912671723e+02 -1.008639278180797981e-04 9.012620883261219409e-07 1.426093013797159748e-02 1.008679543177250449e-04 -3.132657466126500090e+00 -1.572570881912671723e+02
-1.570072599908106952e+02 -9.480620464473330173e-05 1.217533174425262894e-06 1.660984079468888833e-02 9.481402230772553567e-05 -3.128751023113407026e+00 -1.570072599908106952e+02
-1.567574317903542180e+02 -8.896895075416060049e-05 1.533478380150255536e-06 1.823672611922314349e-02 8.898216537171165484e-05 -3.124358252855288676e+00 -1.567574317903542180e+02
-1.565076035898977409e+02 -8.335849577120976761e-05 1.830323754576314924e-06 1.929031477183438051e-02 8.337858779258234838e-05 -3.119638926176240723e+00 -1.565076035898977409e+02
-1.562577753894412638e+02 -7.796238689057502069e-05 2.095582233349499058e-06 1.991088678330325823e-02 7.799054580250374205e-05 -3.114719723603915913e+00 -1.562577753894412638e+02
-1.560079471889847866e+02 -7.275397081433401922e-05 2.321808878968512046e-06 2.029279492206034763e-02 7.279100951163834535e-05 -3.109690324147110108e+00 -1.560079471889847866e+02
-1.557581189885283095e+02 -6.769894543587431132e-05 2.506842216513552381e-06 2.073678718692959291e-02 6.774534279954587965e-05 -3.104580298728694565e+00 -1.557581189885283095e+02
-1.555082907880718324e+02 -6.276225016258233334e-05 2.654138976774617202e-06 2.163489406298828993e-02 6.281834524387441701e-05 -3.099329055694791002e+00 -1.555082907880718324e+02
-1.552584625876153552e+02 -5.791500321137028743e-05 2.771745902741633181e-06 2.339216613279828869e-02 5.798129157169918421e-05 -3.093770285427048794e+00 -1.552584625876153552e+02
-1.550086343871588497e+02 -5.313911530629479314e-05 2.869727523556975220e-06 2.635347605538560997e-02 5.321654734756055900e-05 -3.087641010155318444e+00 -1.550086343871588497e+02
-1.547588061867024010e+02 -4.842860406532193752e-05 2.957330828820695369e-06 3.081883488354849113e-02 4.851881591039511278e-05 -3.080602602429669101e+00 -1.547588061867024010e+02
-1.545089779862458954e+02 -4.378710409498569588e-05 3.041533954648276820e-06 3.717502271883760950e-02 4.389261229207474792e-05 -3.072242182037073999e+00 -1.545089779862458954e+02
-1.542591497857894183e+02 -3.922408569826821366e-05 3.127458414226912336e-06 4.609589003180684930e-02 3.934856916074341415e-05 -3.062027864374116337e+00 -1.542591497857894183e+02
-1.540093215853329696e+02 -3.475192644549565001e-05 3.219637148121812365e-06 5.872722966809803408e-02 3.490075149676158330e-05 -3.049210075526903374e+00 -1.540093215853329696e+02
-1.537594933848764640e+02 -3.038555280953565718e-05 3.322382628800540824e-06 7.682483197288948740e-02 3.056664924183277222e-05 -3.032684428162566004e+00 -1.537594933848764640e+02
-1.535096651844199869e+02 -2.614324842230511349e-05 3.438337310793475688e-06 1.029444764912283289e-01 2.636838261124775751e-05 -3.010824056482584776e+00 -1.535096651844199869e+02
-1.532598369839635097e+02 -2.204669004998508066e-05 3.565689664917269131e-06 1.410007726938493078e-01 2.233317453804113580e-05 -2.981247561545090630e+00 -1.532598369839635097e+02
-1.530100087835070326e+02 -1.811813282463941487e-05 3.695755572681544341e-06 1.979347693960614996e-01 1.849122349397905370e-05 -2.940372117872430469e+00 -1.530100087835070326e+02
-1.527601805830505270e+02 -1.437538689091819824e-05 3.812535221074092189e-06 2.884685121428664512e-01 1.487236272673287218e-05 -2.882348187053113353e+00 -1.527601805830505270e+02
-1.525103523825940499e+02 -1.082635750131803473e-05 3.895044131455309087e-06 4.491933103776106218e-01 1.150571099638478450e-05 -2.796236979318402760e+00 -1.525103523825940499e+02
-1.522605241821376012e+02 -7.465919688745512038e-06 3.921891698773299411e-06 7.827293756736979358e-01 8.433338087359286804e-06 -2.657905874275673597e+00 -1.522605241821376012e+02
-1.520106959816811241e+02 -4.276217486461285605e-06 3.876833185793532950e-06 1.541726580344942255e+00 5.771990258306688595e-06 -2.405141236580461417e+00 -1.520106959816811241e+02
-1.517608677812246469e+02 -1.230488681749814564e-06 3.753605317731508730e-06 2.562267706708688308e+00 3.950146234915443869e-06 -1.887572319948683131e+00 -1.517608677812246469e+02
-1.515110395807681414e+02 1.701104042533510217e-06 3.558654850640948803e-06 2.517754278237969601e+00 3.944335090926505493e-06 -1.124887776070836232e+00 -1.515110395807681414e+02
-1.512612113803116642e+02 4.544953796383879781e-06 3.310732799846634831e-06 1.464035734467491245e+00 5.622949109074754190e-06 -6.295602789010347200e-01 -1.512612113803116642e+02
-1.510113831798551871e+02 7.318488286619355116e-06 3.037196562738756231e-06 7.209596607906280097e-01 7.923688141395825394e-06 -3.933729501788559846e-01 -1.510113831798551871e+02
-1.507615549793986816e+02 1.002666486966809513e-05 2.767710245969791303e-06 3.930159312769446744e-01 1.040164546666932463e-05 -2.693281695869446657e-01 -1.507615549793986816e+02
-1.505117267789422613e+02 1.266165448129345519e-05 2.527122850182685103e-06 2.347592907650430938e-01 1.291138428301063578e-05 -1.970000244555760172e-01 -1.505117267789422613e+02
-1.502618985784857557e+02 1.520579566757157086e-05 2.329701171114774681e-06 1.485135944009910447e-01 1.538322883632145530e-05 -1.520291872824121593e-01 -1.502618985784857557e+02
-1.500120703780292786e+02 1.763721211187995106e-05 2.176699764079386304e-06 9.839748464870526345e-02 1.777102340728828054e-05 -1.227942563905263379e-01 -1.500120703780292786e+02
-1.497622421775728014e+02 1.993601275257889693e-05 2.057966695848990043e-06 6.891803201631398201e-02 2.004195178599659486e-05 -1.028642542439524160e-01 -1.497622421775728014e+02
-1.495124139771163243e+02 2.208901778549574404e-05 1.956857009403214434e-06 5.195584289337365491e-02 2.217552696292013516e-05 -8.835892055525114419e-02 -1.495124139771163243e+02
-1.492625857766598187e+02 2.409135619974359021e-05 1.856387267552364374e-06 4.248382501504745917e-02 2.416277337620941377e-05 -7.690418477744896675e-02 -1.492625857766598187e+02
-1.490127575762033416e+02 2.594515937214406231e-05 1.744361400155775851e-06 3.712057866236927878e-02 2.600373226174097064e-05 -6.713160545121558964e-02 -1.490127575762033416e+02
-1.487629293757468929e+02 2.765664324725662505e-05 1.615783650894824279e-06 3.364242340489142363e-02 2.770380249194186805e-05 -5.835665004320438054e-02 -1.487629293757468929e+02
-1.485131011752903873e+02 2.923363526430656489e-05 1.472336635949822814e-06 3.075718794950681526e-02 2.927068851147967762e-05 -5.032195325473780290e-02 -1.485131011752903873e+02
-1.482632729748339386e+02 3.068458900934942517e-05 1.319901435035056018e-06 2.787254289619852179e-02 3.071296375263864116e-05 -4.298862421015051810e-02 -1.482632729748339386e+02
-1.480134447743774331e+02 3.201911899612941697e-05 1.165858938816849614e-06 2.480711975625015178e-02 3.204033720723792019e-05 -3.639525878693131850e-02 -1.480134447743774331e+02
